lr,model_name,downstream,num_heads,num_layers,optimizer,loss,gamma,alpha,seed,warmup_steps,max_steps,clip_large_grad,mode,finetune_elmo,max_dev,mean_dev,max_train,step_trained
5e-05,elmo,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,2000,-,res14,True,37.35,32.26,99.07,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,2000,-,res14,True,56.29,46.79,100.0,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,CE,2.0,0.75,6,500,2000,-,res14,True,58.22,50.31,100.0,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,CE,2.0,0.75,6,500,2000,-,res14,False,46.22,35.93,88.57,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,CE,3.0,0.75,6,500,2000,-,res14,True,57.32,50.11,99.97,2000
1e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,2000,-,res14,True,44.11,28.14,66.93,2000
4e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,2000,-,res14,True,54.94,45.54,100.0,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,1.0,6,500,2000,-,res14,True,55.62,47.25,100.0,2000
5e-05,elmo,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,2000,-,res14,True,48.07,40.64,100.0,1800
5e-05,elmo,linear,12,1,<class 'transformers.optimization.AdamW'>,CE,3.0,2.0,6,500,2000,-,res14,True,35.32,30.88,98.63,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,8,500,2000,-,res14,True,55.3,45.75,100.0,2000
3e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,8,500,2000,-,res14,True,45.84,36.07,99.76,2000
5e-05,elmo,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,3.0,8,500,2000,-,res14,True,48.41,40.37,100.0,2000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,CE,3.0,0.75,6,500,2000,-,res14,True,56.37,47.25,99.07,2000
1e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,2000,-,res14,True,41.22,27.86,67.51,2000
4e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,2000,-,res14,True,56.29,42.21,98.76,2000
4e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,1.0,6,500,2000,-,res14,True,55.49,40.7,99.18,2000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,1.0,6,500,2000,-,res14,True,55.11,43.51,99.68,2000
5e-05,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,2.0,6,500,50000,-,res14,False,40.23,33.33,69.72,45000
5e-05,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,2.0,6,500,50000,-,res14,False,39.34,32.79,68.61,45000
5e-05,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,1.0,2.0,6,500,50000,-,res14,False,40.09,32.82,67.1,45000
5e-05,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,1.0,6,500,50000,-,res14,False,40.23,33.33,69.72,45000
5e-05,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.5,6,500,50000,-,res14,False,40.23,33.33,69.72,45000
5e-05,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.2,6,500,50000,-,res14,False,40.23,33.33,69.72,45000
5e-05,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,50000,-,res14,False,40.23,31.42,64.3,30000
0.0001,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,50000,-,res14,False,39.61,34.18,84.88,30000
0.0005,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,50000,-,res14,False,43.62,37.1,99.88,30000
0.001,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,50000,-,res14,False,47.07,41.42,99.96,30000
0.005,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,5000,-,res14,False,43.38,37.95,99.3,5000
0.01,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,5000,-,res14,False,50.54,42.19,99.72,5000
0.05,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,5000,-,res14,False,46.96,39.69,94.27,5000
0.02,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,5000,-,res14,False,45.0,40.1,99.17,5000
0.006,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,5000,-,res14,False,43.82,35.77,99.6,5000
0.008,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,5000,-,res14,False,42.12,36.87,99.65,5000
0.001,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.2,6,500,5000,-,res14,False,41.3,32.9,82.29,5000
0.001,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.5,6,500,5000,-,res14,False,41.3,32.9,82.29,5000
0.001,glove,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,1.0,6,500,5000,-,res14,False,41.3,28.51,82.29,5000
5e-05,glove,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,1.0,6,500,5000,-,res14,False,15.66,11.02,14.9,5000
0.0005,glove,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,1.0,6,500,5000,-,res14,False,26.86,20.63,27.04,5000
0.0005,glove,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,5000,-,res14,False,26.86,20.63,27.04,5000
0.0005,glove,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,5000,-,res14,False,22.35,19.0,21.13,5000
0.005,glove,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,5000,-,res14,False,23.87,20.43,26.84,5000
0.001,glove,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,5000,-,res14,False,22.49,20.03,21.69,5000
0.01,glove,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.1,6,500,5000,-,res14,False,24.65,20.45,26.63,5000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,2000,-,res14,True,9.41,9.41,9.43,100
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,2000,-,res14,True,61.63,49.36,99.88,2000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3500,-,res14,True,57.88,42.32,97.35,1100
5e-05,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3500,-,res14,True,41.38,34.58,100.0,3500
5e-05,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,7,500,3000,-,res14,True,38.44,31.92,99.49,3000
5e-05,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.5,7,500,3000,-,res14,True,22.13,14.82,22.87,900
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.5,7,500,3000,-,res14,True,45.25,38.73,100.0,3000
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,-,res14,True,46.65,41.36,89.66,500
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,-,res14,True,43.27,39.58,99.62,1400
1e-05,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,-,res14,True,13.82,11.57,13.37,600
0.0001,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,-,res14,True,47.94,33.22,91.19,3000
2e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,CE,2.0,0.25,6,500,4000,-,res14,-,57.68,52.2,99.62,3500
2e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,CE,2.0,0.25,6,500,3000,-,res14,-,56.16,50.81,98.95,3000
2e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,CE,2.0,0.25,6,500,3500,-,res14,-,56.82,51.81,99.71,3500
2e-05,bert,linear,12,1,<class 'torch.optim.adam.Adam'>,CE,2.0,0.25,6,500,3500,-,res14,-,57.91,51.81,99.65,3500
2e-05,bert,linear,12,1,<class 'torch.optim.adam.Adam'>,CE,2.0,0.25,6,500,3500,-,res14,-,57.21,52.04,99.59,3500
2e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.25,6,500,3000,-,res14,-,56.78,49.81,99.08,3000
2e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,1.0,6,500,3000,-,res14,-,56.72,49.98,99.43,3000
2e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3500,-,res14,-,57.38,50.52,99.61,3500
5e-06,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.25,6,500,3500,-,res14,-,52.61,42.56,87.16,3500
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,2.0,6,500,3500,-,res14,-,59.41,54.42,99.99,3500
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.25,6,500,3500,-,res14,-,59.78,54.7,100.0,3500
3e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3500,-,res14,-,58.49,52.09,100.0,3500
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,1.0,6,500,3500,-,res14,-,59.92,54.22,99.97,3500
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3500,-,res14,-,61.11,55.11,100.0,3500
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,3500,-,res14,-,58.58,53.67,99.94,3500
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,5.0,6,500,3500,-,res14,-,58.55,53.11,100.0,3500
2e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,3.0,0.75,6,500,3500,-,res14,-,56.99,50.23,99.48,3500
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,CE,2.0,0.25,6,500,3500,-,res14,-,59.85,54.82,99.97,3500
7e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3500,-,res14,-,59.17,54.28,100.0,3500
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,5.0,5.0,6,500,3500,-,res14,-,57.08,52.28,99.71,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3500,-,res14,-,60.43,54.23,99.96,3100
2e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,CE,2.0,0.75,6,300,3500,-,res14,False,56.88,53.03,99.68,3500
2e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,CE,2.0,0.75,6,500,3500,-,res14,False,56.47,51.63,99.68,3500
5e-05,bert,linear,12,1,<class 'torch.optim.adam.Adam'>,CE,2.0,0.75,6,500,3500,-,res14,False,61.86,55.64,99.97,3500
5e-05,bert,linear,12,1,<class 'transformers.optimization.Adafactor'>,focal,2.0,0.75,6,500,3500,-,res14,False,59.57,53.18,100.0,3500
2e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.25,6,500,3500,-,res14,False,56.85,50.81,99.66,3500
2e-05,bert,linear,12,1,<class 'torch.optim.adam.Adam'>,CE,2.0,0.75,6,500,3500,-,res14,False,56.86,52.2,99.57,3500
5e-05,bert,linear,12,1,<class 'torch.optim.adam.Adam'>,CE,2.0,0.75,6,500,3500,-,res14,False,58.65,53.67,99.88,3500
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,-,lap14,False,68.55,57.42,99.9,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,-,res16,False,53.78,45.71,99.93,2400
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,-,res14,False,57.9,51.66,99.98,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,-,lap14,False,66.41,57.8,100.0,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,-,res16,False,52.95,46.15,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,-,res14,False,61.05,54.39,99.99,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,-,lap14,False,69.85,59.43,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,-,res16,False,51.39,43.99,100.0,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,res14,False,54.27,49.14,99.98,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,lap14,False,66.23,59.06,99.93,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,res16,False,57.81,51.13,100.0,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,res14,False,57.49,48.95,100.0,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,lap14,False,66.82,56.94,99.86,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,res16,False,57.27,49.54,99.87,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,res14,False,57.36,51.47,99.91,3000
